<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GAZP,60,20230712,130000,170.2500000
GAZP,60,20230712,140000,170.3500000
GAZP,60,20230712,150000,170.1200000
GAZP,60,20230712,160000,170.5000000
GAZP,60,20230712,170000,170.3700000
GAZP,60,20230712,180000,170.1600000
GAZP,60,20230712,190000,170.4500000
GAZP,60,20230712,200000,169.8100000
GAZP,60,20230712,210000,170.1100000
GAZP,60,20230712,220000,170.1000000
GAZP,60,20230712,230000,170.3000000
GAZP,60,20230713,000000,170.3000000
GAZP,60,20230713,110000,169.6200000
GAZP,60,20230713,120000,169.4600000
GAZP,60,20230713,130000,168.9000000
GAZP,60,20230713,140000,169.2300000
GAZP,60,20230713,150000,169.0400000
GAZP,60,20230713,160000,169.3200000
GAZP,60,20230713,170000,169.4900000
GAZP,60,20230713,180000,169.2700000
GAZP,60,20230713,190000,169.0300000
GAZP,60,20230713,200000,169.1200000
GAZP,60,20230713,210000,169.1500000
GAZP,60,20230713,220000,169.1000000
GAZP,60,20230713,230000,169.1900000
GAZP,60,20230714,000000,168.9600000
GAZP,60,20230714,110000,168.8400000
GAZP,60,20230714,120000,169.5800000
GAZP,60,20230714,130000,169.4000000
GAZP,60,20230714,140000,169.7100000
GAZP,60,20230714,150000,169.4500000
GAZP,60,20230714,160000,169.4400000
GAZP,60,20230714,170000,169.2800000
GAZP,60,20230714,180000,169.3200000
GAZP,60,20230714,190000,169.8400000
GAZP,60,20230714,200000,169.5800000
GAZP,60,20230714,210000,169.6200000
GAZP,60,20230714,220000,169.7300000
GAZP,60,20230714,230000,169.7700000
GAZP,60,20230715,000000,169.7000000
GAZP,60,20230717,110000,169.6800000
GAZP,60,20230717,120000,170.7000000
GAZP,60,20230717,130000,170.9200000
GAZP,60,20230717,140000,170.6100000
GAZP,60,20230717,150000,170.5900000
GAZP,60,20230717,160000,170.5000000
GAZP,60,20230717,170000,170.0200000
GAZP,60,20230717,180000,170.0400000
GAZP,60,20230717,190000,170.4500000
GAZP,60,20230717,200000,170.6500000
GAZP,60,20230717,210000,170.4000000
GAZP,60,20230717,220000,170.5700000
GAZP,60,20230717,230000,170.7600000
GAZP,60,20230718,000000,170.6300000
GAZP,60,20230718,110000,171.4900000
GAZP,60,20230718,120000,171.5300000
GAZP,60,20230718,130000,171.5000000
GAZP,60,20230718,140000,171.8000000
GAZP,60,20230718,150000,172.9300000
GAZP,60,20230718,160000,173.7500000
GAZP,60,20230718,170000,173.8700000
GAZP,60,20230718,180000,174.2600000
GAZP,60,20230718,190000,174.5000000
GAZP,60,20230718,200000,174.4900000
GAZP,60,20230718,210000,174.8900000
GAZP,60,20230718,220000,174.9500000
GAZP,60,20230718,230000,174.8400000
GAZP,60,20230719,000000,174.8900000
GAZP,60,20230719,110000,173.9600000
GAZP,60,20230719,120000,174.2400000
GAZP,60,20230719,130000,173.3500000
GAZP,60,20230719,140000,173.2100000
GAZP,60,20230719,150000,173.4800000
GAZP,60,20230719,160000,173.0500000
GAZP,60,20230719,170000,173.4400000
GAZP,60,20230719,180000,173.5800000
GAZP,60,20230719,190000,173.0400000
GAZP,60,20230719,200000,172.7600000
GAZP,60,20230719,210000,173.2000000
GAZP,60,20230719,220000,173.3100000
GAZP,60,20230719,230000,173.1000000
GAZP,60,20230720,000000,173.0400000
GAZP,60,20230720,110000,172.2000000
GAZP,60,20230720,120000,171.8700000
GAZP,60,20230720,130000,171.8600000
GAZP,60,20230720,140000,172.0000000
GAZP,60,20230720,150000,172.2900000
GAZP,60,20230720,160000,172.2300000
GAZP,60,20230720,170000,172.4000000
GAZP,60,20230720,180000,172.1000000
GAZP,60,20230720,190000,171.9300000
GAZP,60,20230720,200000,171.7200000
GAZP,60,20230720,210000,170.1700000
GAZP,60,20230720,220000,170.1600000
GAZP,60,20230720,230000,170.5400000
GAZP,60,20230721,000000,169.9200000
GAZP,60,20230721,110000,170.4600000
GAZP,60,20230721,120000,170.6900000
GAZP,60,20230721,130000,170.7900000
GAZP,60,20230721,140000,170.4400000
GAZP,60,20230721,150000,171.2300000
GAZP,60,20230721,160000,171.0000000
GAZP,60,20230721,170000,171.5600000
GAZP,60,20230721,180000,171.4900000
GAZP,60,20230721,190000,171.6000000
GAZP,60,20230721,200000,171.4700000
GAZP,60,20230721,210000,171.2200000
GAZP,60,20230721,220000,171.2700000
GAZP,60,20230721,230000,171.2700000
GAZP,60,20230722,000000,171.1900000
GAZP,60,20230724,110000,171.4900000
GAZP,60,20230724,120000,171.3900000
GAZP,60,20230724,130000,171.0200000
GAZP,60,20230724,140000,171.1600000
GAZP,60,20230724,150000,171.4200000
GAZP,60,20230724,160000,172.3100000
GAZP,60,20230724,170000,171.8600000
GAZP,60,20230724,180000,172.1200000
GAZP,60,20230724,190000,171.8900000
GAZP,60,20230724,200000,172.2100000
GAZP,60,20230724,210000,172.1100000
GAZP,60,20230724,220000,171.9400000
GAZP,60,20230724,230000,171.8700000
GAZP,60,20230725,000000,171.9800000
GAZP,60,20230725,110000,172.2700000
GAZP,60,20230725,120000,171.8700000
GAZP,60,20230725,130000,171.8000000
GAZP,60,20230725,140000,172.0400000
GAZP,60,20230725,150000,172.0000000
GAZP,60,20230725,160000,171.8700000
GAZP,60,20230725,170000,171.9000000
GAZP,60,20230725,180000,172.2000000
GAZP,60,20230725,190000,172.4700000
GAZP,60,20230725,200000,172.2400000
GAZP,60,20230725,210000,172.2500000
GAZP,60,20230725,220000,172.0000000
GAZP,60,20230725,230000,171.9800000
GAZP,60,20230726,000000,171.8600000
GAZP,60,20230726,110000,171.1400000
GAZP,60,20230726,120000,171.2100000
GAZP,60,20230726,130000,170.9100000
GAZP,60,20230726,140000,171.1900000
GAZP,60,20230726,150000,171.3500000
GAZP,60,20230726,160000,171.4000000
GAZP,60,20230726,170000,171.5800000
GAZP,60,20230726,180000,171.7600000
GAZP,60,20230726,190000,171.8200000
GAZP,60,20230726,200000,171.5100000
